School Name,State Name [Public School] Latest available year,State Name [Public School] 2023-24,State Abbr [Public School] Latest available year,School Name [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (12-digit) - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year,County Name [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24,Location ZIP [Public School] 2023-24,Location ZIP4 [Public School] 2023-24
FRIENDSHIP PCS - SOUTHEAST MIDDLE,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Southeast Middle,1100515,1.10001E+11,11,District of Columbia,321,0,0,1,326,4,0,0,–,–,–,13.98,20032,    
FRIENDSHIP PCS - TECHNOLOGY PREPARATORY HS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Technology Preparatory HS,1100496,1.10001E+11,11,District of Columbia,323,0,0,0,327,4,0,0,–,–,–,7.79,20032,    
FRIENDSHIP PCS - WOODRIDGE INTERNATIONAL ELEMENTARY,District of Columbia,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Woodridge International Elementary,1100482,1.10001E+11,11,District of Columbia,237,2,0,1,244,3,0,1,–,–,–,9.04,20018,    
FRIENDSHIP PCS - WOODRIDGE INTERNATIONAL MIDDLE,District of Columbia,DISTRICT OF COLUMBIA,DC ,Friendship PCS - Woodridge International Middle,1100481,1.10001E+11,11,District of Columbia,202,0,0,2,214,10,0,0,–,–,–,7.38,20018,    
GARFIELD ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Garfield ES,1100165,1.10003E+11,11,District of Columbia,192,0,1,3,202,6,0,0,–,–,–,8.08,20019,    
GARRISON ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Garrison ES,1100171,1.10003E+11,11,District of Columbia,194,99,0,10,389,73,13,0,–,–,–,9.81,20009,    
GIRLS GLOBAL ACADEMY PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Girls Global Academy PCS,1100537,1.10011E+11,11,District of Columbia,175,1,0,5,210,28,1,0,–,–,–,8.08,20001,    
GLOBAL CITIZENS PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Global Citizens PCS,1100545,1.10012E+11,11,District of Columbia,129,5,0,7,161,15,4,1,–,–,–,11.5,20019,    
GOODWILL EXCEL CENTER PCS,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Goodwill Excel Center PCS,1100508,1.10011E+11,11,District of Columbia,417,1,0,1,441,21,0,1,–,–,–,18.38,20006,    
H.D. COOKE ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,H.D. Cooke ES,1100100,1.10003E+11,11,District of Columbia,142,19,1,4,389,210,11,2,–,–,–,8.63,20009,    
H.D. WOODSON HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,H.D. Woodson HS,1100055,1.10003E+11,11,District of Columbia,508,1,0,0,543,34,0,0,–,–,–,10.64,20019,    
HARDY MS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Hardy MS,1100186,1.10003E+11,11,District of Columbia,180,242,0,41,601,106,32,0,–,–,–,14.66,20007,    
HARMONY DC PCS - SCHOOL OF EXCELLENCE,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,Harmony DC PCS - School of Excellence,1100491,1.1001E+11,11,District of Columbia,170,3,1,0,178,4,0,0,–,–,–,8.88,20002,    
HART MS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Hart MS,1100135,1.10003E+11,11,District of Columbia,354,0,0,3,367,10,0,0,–,–,–,11.94,20032,    
HEARST ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Hearst ES,1100183,1.10003E+11,11,District of Columbia,63,185,0,35,336,27,26,0,–,–,–,11.42,20008,    
HENDLEY ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Hendley ES,1100182,1.10003E+11,11,District of Columbia,231,0,0,5,251,15,0,0,–,–,–,11.3,20032,    
HOPE COMMUNITY PCS - TOLSON,District of Columbia,DISTRICT OF COLUMBIA,DC ,Hope Community PCS - Tolson,1100386,1.10005E+11,11,District of Columbia,134,1,0,0,227,92,0,0,–,–,–,10.56,20017,    
